accept_handover|Accept call handover
receive_sensitive_notifications|Allows apps with a NotificationListenerService to receive notifications with sensitive information Apps with a NotificationListenerService without this permission will not be able to view certain types of sensitive information contained in notifications
receive_sms|Allows an application to receive SMS messages.
receive_wap_push|Allows an application to receive WAP push messages.
record_audio|Required to be able to access the microphone device.
record_audio_hotword|Audio is being recorded for hotword detection.
record_audio_output|App output audio is being recorded
record_audio_sandboxed|Audio is being recorded in sandboxed detection process.
record_incoming_phone_audio|Record incoming phone audio (auto-generated)
request_delete_packages|Request delete packages (auto-generated)
request_install_packages|Request install packages (auto-generated)
reserved_for_testing|Reserved for use by appop tests so that operations done legitimately by the platform don't interfere with expected results. Platform code should never use this.
run_any_in_background|Run any in background (auto-generated)
run_in_background|Run in background (auto-generated)
run_user_initiated_jobs|App can schedule user-initiated jobs.
scene_understanding_coarse|Access coarse scene tracking data.
scene_understanding_fine|Access fine scene tracking data.
schedule_exact_alarm|App can schedule exact alarm to perform timing based background work.
send_sms|Allows an application to send SMS messages.
sms_financial_transactions|Financial app read sms.
start_foreground|Start foreground (auto-generated)
system_alert_window|Required to draw on top of other apps.
system_application_overlay|Required to draw system application overlays.
system_exempt_from_dismissible_notifications|Allow an application to create non-dismissible notifications. Starting from Android U, notifications with the ongoing parameter can be dismissed by a user on an unlocked device unless the application that created the notification is exempt. An application with this appop will be made exempt. Only to be used by the system.
system_exempt_from_activity_bg_start_restriction|Allows an application to start an activity while running in the background. Only to be used by the system.
system_exempt_from_hibernation|Prevent an app from being placed into hibernation. Only to be used by the system.
system_exempt_from_power_restrictions|Exempt an app from all power-related restrictions, including app standby and doze. In addition, the app will be able to start foreground services from the background, and the user will not be able to stop foreground services run by the app. Only to be used by the system.
system_exempt_from_suspension|Prevent an app from being suspended. Only to be used by the system.
take_audio_focus|Take audio focus (auto-generated)
take_media_buttons|Take media buttons (auto-generated)
toast_window|Toast window (auto-generated)
turn_screen_on|Turn screen on (auto-generated)
unarchival_support|Whether the app has enabled compatibility support for unarchival.
use_biometric|Use the BiometricPrompt/BiometricManager APIs.
use_fingerprint|Use the fingerprint API.
